quarter,gdp,public_debt
1966-01-01,795.734,320999
1966-04-01,804.981,316097
1966-07-01,819.638,324748
1966-10-01,833.302,329319
1967-01-01,844.17,330947
1967-04-01,848.983,322893
1967-07-01,865.233,335896
1967-10-01,881.439,344663
1968-01-01,909.387,349473
1968-04-01,934.344,345369
1968-07-01,950.825,354743
1968-10-01,968.03,358029
1969-01-01,993.337,359546
1969-04-01,1009.02,352895
1969-07-01,1029.956,360685
1969-10-01,1038.147,368226
1970-01-01,1051.2,372007
1970-04-01,1067.375,370094
1970-07-01,1086.059,378678
1970-10-01,1088.608,389158
1971-01-01,1135.156,391668
1971-04-01,1156.271,397305
1971-07-01,1177.675,412268
1971-10-01,1190.297,424131
1972-01-01,1230.609,427344
1972-04-01,1266.369,426435
1972-07-01,1290.566,433946
1972-10-01,1328.904,448473
1973-01-01,1377.49,458606
1973-04-01,1413.887,457317
1973-07-01,1433.838,460614
1973-10-01,1476.289,469073
1974-01-01,1491.209,473675
1974-04-01,1530.056,474235
1974-07-01,1560.026,481466
1974-10-01,1599.679,492664
1975-01-01,1616.116,509659
1975-04-01,1651.853,533188
1975-07-01,1709.82,553647
1975-10-01,1761.831,576649
1976-01-01,1820.487,600490
1976-04-01,1852.332,620432
1976-07-01,1886.558,634701
1976-10-01,1934.273,653543
1977-01-01,1988.648,669207
1977-04-01,2055.909,674425
1977-07-01,2118.473,698840
1977-10-01,2164.27,718943
1978-01-01,2202.76,737951
1978-04-01,2331.633,749024
1978-07-01,2395.053,771544
1978-10-01,2476.949,789207
1979-01-01,2526.61,796792
1979-04-01,2591.247,804913
1979-07-01,2667.565,826519
1979-10-01,2723.883,845116
1980-01-01,2789.842,863451
1980-04-01,2797.352,877614
1980-07-01,2856.483,907701
1980-10-01,2985.557,930210
1981-01-01,3124.206,964531
1981-04-01,3162.532,971174
1981-07-01,3260.609,997855
1981-10-01,3280.818,1028729
1982-01-01,3274.302,1061299
1982-04-01,3331.972,1079630
1982-07-01,3366.322,1142035
1982-10-01,3402.561,1197074
1983-01-01,3473.413,1244493
1983-04-01,3578.848,1319581
1983-07-01,3689.179,1377211
1983-10-01,3794.706,1410702
1984-01-01,3908.054,1463741
1984-04-01,4009.601,1512697
1984-07-01,4084.25,1572267
1984-10-01,4148.551,1662966
1985-01-01,4230.168,1710731
1985-04-01,4294.887,1774640
1985-07-01,4386.773,1823103
1985-10-01,4444.094,1945942
1986-01-01,4507.894,1986816
1986-04-01,4545.34,2059349
1986-07-01,4607.669,2125304
1986-10-01,4657.627,2214835
1987-01-01,4722.156,2246724
1987-04-01,4806.16,2309296
1987-07-01,4884.555,2350277
1987-10-01,5007.994,2431715
1988-01-01,5073.372,2487551
1988-04-01,5190.036,2547656
1988-07-01,5282.835,2602183
1988-10-01,5399.509,2684392
1989-01-01,5511.253,2740898
1989-04-01,5612.463,2799923
1989-07-01,5695.365,2857431
1989-10-01,5747.237,2952994
1990-01-01,5872.701,3051958
1990-04-01,5960.028,3143754
1990-07-01,6015.116,3233313
1990-10-01,6004.733,3364820
1991-01-01,6035.178,3465189
1991-04-01,6126.862,3537988
1991-07-01,6205.937,3665303
